MaxDepth,Max Neuron,Best Loss,Best Structure Found,Found in Generation
4,4,0.180960929781199, [784   3   3   3  10],0
4,6,0.171429671291262, [784   5   4   3  10],8
4,8,0.052621752390172, [784   8   8   8  10],3
4,10,0.054301779112895, [784   9   9   8  10],7
4,12,0.047505367217411, [784  10   9  12  10],1
4,14,0.035950538421137, [784  14  13  13  10],9
6,4,0.188001875139773, [784   3   3   3   2   3   2  10],9
6,6,0.146218536626548, [784   4   3   4   3   4  10],1
6,8,0.098899317901116, [784   5   7   4   6   5  10],9
6,10,0.049127380728023, [784   8   7  10   8  10],8
6,12,0.04169769664749, [784  12   8   7   9  12  10],7
6,14,0.033712273819292, [784  13  12  14  13  13  10],8
8,4,0.215120284110308, [784   2   3   3   3   2   3   3  10],9
8,6,0.15161886144802, [784   5   2   3   4   5   5  10],8
