Generation,PID, Epoch, Training Loss, Validation Loss,Best loss(Generation), Accuracy,EarlyStopCount,RunTime
0,0,0,0.29409969,0.22732119,0.22732119,0.3729,   0/  3,4.06294608
0,0,1,0.22589708,0.21716616,0.21716616,0.425,   0/  3,4.11495852
0,0,2,0.21355748,0.21131281,0.21131281,0.4402,   0/  3,4.11706829
0,0,3,0.20953256,0.20638865,0.20638865,0.4523,   0/  3,4.11747932
0,0,4,0.20823677,0.20733891,0.20638865,0.4481,   1/  3,4.1208303
0,0,5,0.20695022,0.2056531,0.2056531,0.4663,   1/  3,4.12086868
0,0,6,0.20630232,0.20706323,0.2056531,0.4592,   2/  3,4.11615276
0,0,7,0.20543221,0.20474136,0.20474136,0.4608,   2/  3,4.11960506
0,0,8,0.2046453,0.20574262,0.20474136,0.4747,   3/  3,4.13305807
0,1,0,0.34720805,0.32500326,0.32500326,0.1135,   0/  3,3.35708332
0,1,1,0.32501065,0.32498981,0.32498981,0.1135,   0/  3,3.37502956
0,1,2,0.32499882,0.32504973,0.32498981,0.1032,   1/  3,3.38409209
0,1,3,0.32500812,0.32494869,0.32494869,0.1135,   1/  3,3.38095093
0,1,4,0.32501901,0.32492649,0.32492649,0.1135,   1/  3,3.38208652
0,1,5,0.32500998,0.32499738,0.32492649,0.101,   2/  3,3.38762522
0,1,6,0.3250128,0.32497579,0.32492649,0.1135,   3/  3,3.39012766
0,2,0,0.29527775,0.25331855,0.25331855,0.3099,   0/  3,3.97412086
0,2,1,0.24982682,0.24754534,0.24754534,0.3258,   0/  3,4.00080585
0,2,2,0.2469312,0.2465375,0.2465375,0.3349,   0/  3,4.00953698
0,2,3,0.24412114,0.2446412,0.2446412,0.3427,   0/  3,4.00773025
0,2,4,0.24435498,0.24505778,0.2446412,0.3472,   1/  3,4.01068592
0,2,5,0.24288412,0.24171796,0.24171796,0.3589,   1/  3,4.01040554
0,2,6,0.24147786,0.25336308,0.24171796,0.3489,   2/  3,4.00246978
0,2,7,0.2415003,0.24093475,0.24093475,0.3622,   2/  3,4.01122355
0,2,8,0.24068854,0.24452109,0.24093475,0.3587,   3/  3,4.0260098
0,3,0,0.23435019,0.19430623,0.19430623,0.5576,   0/  3,3.26663995
0,3,1,0.18114616,0.16644068,0.16644068,0.6325,   0/  3,3.29885054
0,3,2,0.16044325,0.15712452,0.15712452,0.6564,   0/  3,3.30946016
0,3,3,0.15411897,0.14939335,0.14939335,0.7172,   0/  3,3.30530572
0,3,4,0.14895006,0.15064873,0.14939335,0.7159,   1/  3,3.30143046
0,3,5,0.14749087,0.14580319,0.14580319,0.7355,   1/  3,3.30929303
0,3,6,0.14636644,0.14678747,0.14580319,0.7302,   2/  3,3.31056404
0,3,7,0.14564496,0.14948296,0.14580319,0.7151,   3/  3,3.316782
0,4,0,0.21264571,0.15755107,0.15755107,0.6667,   0/  3,3.97762895
0,4,1,0.14075095,0.13713016,0.13713016,0.7491,   0/  3,4.01865673
0,4,2,0.13030289,0.12494824,0.12494824,0.7658,   0/  3,4.01639295
0,4,3,0.12746105,0.12114162,0.12114162,0.7709,   0/  3,4.02189422
0,4,4,0.12492945,0.12130561,0.12114162,0.7736,   1/  3,4.01962662
0,4,5,0.12504078,0.12182878,0.12114162,0.7789,   2/  3,4.01957798
0,4,6,0.12410999,0.12190943,0.12114162,0.7745,   3/  3,4.0136869
0,5,0,0.33147106,0.29644777,0.29644777,0.3312,   0/  3,3.19172263
0,5,1,0.28185022,0.27497655,0.27497655,0.3054,   0/  3,3.20759177
0,5,2,0.2680086,0.26681051,0.26681051,0.3307,   0/  3,3.21706033
0,5,3,0.25975497,0.25948189,0.25948189,0.3259,   0/  3,3.21575713
0,5,4,0.25322561,0.24939225,0.24939225,0.3608,   0/  3,3.21412039
0,5,5,0.24433388,0.23903834,0.23903834,0.368,   0/  3,3.21179938
0,5,6,0.23650958,0.23450959,0.23450959,0.369,   0/  3,3.21321034
0,5,7,0.2323087,0.24264916,0.23450959,0.3366,   1/  3,3.20736027
0,5,8,0.2304642,0.23284235,0.23284235,0.398,   1/  3,3.2131815
0,5,9,0.22967931,0.23233661,0.23233661,0.3889,   1/  3,3.2384963
0,5,10,0.2294696,0.22995689,0.22995689,0.408,   1/  3,3.29494405
0,5,11,0.22902601,0.22842168,0.22842168,0.4109,   1/  3,3.31756473
0,5,12,0.22874956,0.22868699,0.22842168,0.4168,   2/  3,3.35599184
0,5,13,0.22869362,0.23690167,0.22842168,0.3895,   3/  3,3.47263098
0,6,0,0.35519958,0.32494175,0.32494175,0.1135,   0/  3,3.409585
0,6,1,0.32500167,0.32502376,0.32494175,0.098,   1/  3,3.4457407
0,6,2,0.3250026,0.32507552,0.32494175,0.1135,   2/  3,3.44741488
0,6,3,0.32502175,0.32494245,0.32494175,0.1135,   3/  3,3.44410086
0,7,0,0.34621634,0.32504175,0.32504175,0.1135,   0/  3,3.1662674
0,7,1,0.325017,0.3249559,0.3249559,0.1135,   0/  3,3.18199944
0,7,2,0.32501515,0.32498113,0.3249559,0.1135,   1/  3,3.1769681
0,7,3,0.32501916,0.32497257,0.3249559,0.1135,   2/  3,3.17905188
0,7,4,0.32502295,0.32496531,0.3249559,0.1135,   3/  3,3.17906189
0,8,0,0.30754797,0.24820653,0.24820653,0.3048,   0/  3,3.54530263
