Generation,PID, Epoch, Training Loss, Validation Loss,Best loss(Generation), Accuracy,EarlyStopCount,Runtime
0,0,0,0.3670816,0.32494695,0.32494695,0.1135,   0/  3,3.31358218
0,0,1,0.32495511,0.32490065,0.32490065,0.1135,   0/  3,3.53459549
0,0,2,0.32495625,0.32492023,0.32490065,0.1135,   1/  3,3.51604962
0,0,3,0.32495304,0.32494858,0.32490065,0.1135,   2/  3,3.51449656
0,0,4,0.32495681,0.32492766,0.32490065,0.1135,   3/  3,3.51622653
0,1,0,0.33151058,0.24569438,0.24569438,0.2996,   0/  3,3.84644508
0,1,1,0.23828658,0.233467,0.233467,0.31,   0/  3,3.88527632
0,1,2,0.23369357,0.23192224,0.23192224,0.3279,   0/  3,3.88730788
0,1,3,0.23138492,0.23062644,0.23062644,0.3859,   0/  3,3.88424087
0,1,4,0.22942761,0.22987347,0.22987347,0.3689,   0/  3,3.88189483
0,1,5,0.22830941,0.22875811,0.22875811,0.3684,   0/  3,3.8928051
0,1,6,0.22728604,0.22707928,0.22707928,0.3972,   0/  3,3.89554572
0,1,7,0.22671556,0.2287379,0.22707928,0.3735,   1/  3,3.89356899
0,1,8,0.22639178,0.22750527,0.22707928,0.3891,   2/  3,3.90139151
0,1,9,0.2253993,0.22494813,0.22494813,0.3896,   2/  3,3.915097
0,1,10,0.22516741,0.22520683,0.22494813,0.3917,   3/  3,3.9362874
0,2,0,0.34902842,0.32496246,0.32496246,0.1135,   0/  3,3.84222817
0,2,1,0.32498258,0.32496816,0.32496246,0.1135,   1/  3,3.85751438
0,2,2,0.32501055,0.32498251,0.32496246,0.1028,   2/  3,3.8566153
0,2,3,0.32500975,0.32493037,0.32493037,0.1135,   2/  3,3.85459113
0,2,4,0.32499877,0.32497201,0.32493037,0.1135,   3/  3,3.8559649
0,3,0,0.39476707,0.32515898,0.32515898,0.1135,   0/  3,3.21722388
0,3,1,0.32496724,0.32501331,0.32501331,0.1135,   0/  3,3.22920895
0,3,2,0.32495348,0.32500573,0.32500573,0.1135,   0/  3,3.23178267
0,3,3,0.32495225,0.32502543,0.32500573,0.1135,   1/  3,3.23008609
0,3,4,0.32495979,0.32499117,0.32499117,0.1135,   1/  3,3.22922492
0,3,5,0.3249553,0.32498893,0.32498893,0.1135,   1/  3,3.22577453
0,3,6,0.3249513,0.32499753,0.32498893,0.1135,   2/  3,3.23499918
0,3,7,0.32495608,0.32502374,0.32498893,0.1135,   3/  3,3.22671556
0,4,0,0.38225979,0.32501466,0.32501466,0.1135,   0/  3,3.23033524
0,4,1,0.32496232,0.3249183,0.3249183,0.1135,   0/  3,3.25311685
0,4,2,0.32495481,0.32492411,0.3249183,0.1135,   1/  3,3.25022316
0,4,3,0.32495806,0.3249117,0.3249117,0.1135,   1/  3,3.25607109
0,4,4,0.324954,0.32495186,0.3249117,0.1135,   2/  3,3.25615263
0,4,5,0.3249552,0.32492549,0.3249117,0.1135,   3/  3,3.25089431
0,5,0,0.29165547,0.2620557,0.2620557,0.3241,   0/  3,3.87512207
0,5,1,0.25645554,0.25331898,0.25331898,0.3578,   0/  3,3.89574337
0,5,2,0.25163853,0.25196368,0.25196368,0.3584,   0/  3,3.89586234
0,5,3,0.24940895,0.25032418,0.25032418,0.3751,   0/  3,3.88639617
0,5,4,0.24831788,0.24787296,0.24787296,0.3871,   0/  3,3.88905859
0,5,5,0.24777243,0.24767186,0.24767186,0.386,   0/  3,3.8882494
0,5,6,0.24711715,0.24724199,0.24724199,0.3808,   0/  3,3.89213777
0,5,7,0.24664884,0.24802861,0.24724199,0.3861,   1/  3,3.89343548
0,5,8,0.24640509,0.24634324,0.24634324,0.3926,   1/  3,3.83649945
0,5,9,0.24590795,0.24638063,0.24634324,0.3958,   2/  3,3.85138535
0,5,10,0.24566997,0.24644137,0.24634324,0.3938,   3/  3,3.88252854
0,6,0,0.34052542,0.32015642,0.32015642,0.1432,   0/  3,3.81383348
0,6,1,0.30266289,0.2970524,0.2970524,0.1969,   0/  3,3.83762908
