Generation,PID, Epoch, Training Loss, Validation Loss,Best Loss(Generation), Accuracy,EarlyStopCount,Runtime
0,0,0,0.25650178,0.22523739,0.22523739,0.3845,   0/  3,3.17626333
0,0,1,0.22194564,0.22119425,0.22119425,0.3926,   0/  3,3.19753051
0,0,2,0.21678135,0.2112434,0.2112434,0.4515,   0/  3,3.20417523
0,0,3,0.21210426,0.20793774,0.20793774,0.4476,   0/  3,3.19796443
0,0,4,0.21005261,0.21090936,0.20793774,0.456,   1/  3,3.19635391
0,0,5,0.20923022,0.20592231,0.20592231,0.4528,   1/  3,3.20123625
0,0,6,0.20887356,0.20946489,0.20592231,0.4259,   2/  3,3.20383024
0,0,7,0.2082462,0.21039202,0.20592231,0.4382,   3/  3,3.19952917
0,1,0,0.36192704,0.32494923,0.32494923,0.101,   0/  3,3.09138107
0,1,1,0.32500176,0.32492687,0.32492687,0.1135,   0/  3,3.10515594
0,1,2,0.32501217,0.32492608,0.32492608,0.1135,   0/  3,3.10483503
0,1,3,0.32499106,0.3249685,0.32492608,0.1135,   1/  3,3.1068182
0,1,4,0.32501505,0.32498988,0.32492608,0.1135,   2/  3,3.10137057
0,1,5,0.32500533,0.32508704,0.32492608,0.1135,   3/  3,3.10519361
0,2,0,0.34521012,0.32503791,0.32503791,0.1028,   0/  3,3.15427852
0,2,1,0.32500145,0.3249774,0.3249774,0.1135,   0/  3,3.1676805
0,2,2,0.32500403,0.32492518,0.32492518,0.1135,   0/  3,3.17223692
0,2,3,0.32500329,0.32495811,0.32492518,0.1135,   1/  3,3.17126632
0,2,4,0.32499569,0.32502422,0.32492518,0.1135,   2/  3,3.16855693
0,2,5,0.32501236,0.32494924,0.32492518,0.1135,   3/  3,3.16713071
0,3,0,0.31357855,0.26545338,0.26545338,0.2942,   0/  3,3.70897126
0,3,1,0.25664046,0.25229988,0.25229988,0.3404,   0/  3,3.72095585
0,3,2,0.24939404,0.24797705,0.24797705,0.3458,   0/  3,3.72033763
0,3,3,0.24595718,0.24459318,0.24459318,0.361,   0/  3,3.71688509
0,3,4,0.2439165,0.24698605,0.24459318,0.3512,   1/  3,3.72230339
0,3,5,0.24276262,0.24488858,0.24459318,0.3709,   2/  3,3.71660161
0,3,6,0.24195086,0.24173769,0.24173769,0.3641,   2/  3,3.71710873
0,3,7,0.24147985,0.24175635,0.24173769,0.3597,   3/  3,3.71872807
0,4,0,0.34733275,0.32250416,0.32250416,0.1815,   0/  3,3.86206055
0,4,1,0.31364998,0.30075913,0.30075913,0.1789,   0/  3,3.87695384
0,4,2,0.28825799,0.2822749,0.2822749,0.2135,   0/  3,3.88022995
0,4,3,0.27858172,0.27670996,0.27670996,0.2095,   0/  3,3.88350654
0,4,4,0.2757025,0.27521547,0.27521547,0.214,   0/  3,3.88160729
0,4,5,0.27443973,0.27400948,0.27400948,0.224,   0/  3,3.87434721
0,4,6,0.27371802,0.27491374,0.27400948,0.2148,   1/  3,3.8833468
0,4,7,0.27287386,0.27315115,0.27315115,0.2073,   1/  3,3.89070058
0,4,8,0.27072568,0.26984026,0.26984026,0.2136,   1/  3,3.91463351
0,4,9,0.26991519,0.26988092,0.26984026,0.2127,   2/  3,3.97103643
0,4,10,0.26956413,0.27150311,0.26984026,0.2117,   3/  3,3.99890304
