Generation,PID, Epoch, Training Loss, Validation Loss,Best Loss(Generation), Accuracy,EarlyStopCount,RunTime
0,0,0,0.38170751,0.32498212,0.32498212,0.1135,   0/  3,3.34537792
0,0,1,0.32496541,0.32492964,0.32492964,0.1135,   0/  3,3.38706875
0,0,2,0.324959,0.32492071,0.32492071,0.1135,   0/  3,3.38004041
0,0,3,0.32495375,0.32490174,0.32490174,0.1135,   0/  3,3.38473773
0,0,4,0.32495832,0.32492824,0.32490174,0.1135,   1/  3,3.37555265
0,0,5,0.32495372,0.32493494,0.32490174,0.1135,   2/  3,3.38346744
0,0,6,0.32495815,0.32491781,0.32490174,0.1135,   3/  3,3.38515234
0,1,0,0.35177371,0.3249038,0.3249038,0.1135,   0/  3,3.15687227
0,1,1,0.32499701,0.32494096,0.3249038,0.1135,   1/  3,3.16654277
0,1,2,0.32499921,0.32494365,0.3249038,0.1135,   2/  3,3.17206502
0,1,3,0.32499082,0.32500677,0.3249038,0.1135,   3/  3,3.16820502
0,2,0,0.38898716,0.3250399,0.3250399,0.1135,   0/  3,3.19613624
0,2,1,0.32496301,0.32490913,0.32490913,0.1135,   0/  3,3.21383214
0,2,2,0.32495283,0.32493475,0.32490913,0.1135,   1/  3,3.22074103
0,2,3,0.32495049,0.32494435,0.32490913,0.1135,   2/  3,3.21767735
0,2,4,0.32496036,0.32491138,0.32490913,0.1135,   3/  3,3.21767521
0,3,0,0.34371234,0.32493466,0.32493466,0.1135,   0/  3,3.85442352
0,3,1,0.32502388,0.32495604,0.32493466,0.1135,   1/  3,3.87200999
0,3,2,0.32502648,0.32506803,0.32493466,0.1028,   2/  3,3.86450768
0,3,3,0.32503707,0.32496539,0.32493466,0.1135,   3/  3,3.86937022
0,4,0,0.27221363,0.23570451,0.23570451,0.4414,   0/  3,3.82306361
0,4,1,0.22009022,0.21549852,0.21549852,0.4564,   0/  3,3.84804296
0,4,2,0.21392171,0.21503258,0.21503258,0.4302,   0/  3,3.85747027
0,4,3,0.21018961,0.20540554,0.20540554,0.4554,   0/  3,3.85774565
0,4,4,0.20879361,0.21156254,0.20540554,0.4355,   1/  3,3.85621476
0,4,5,0.20625708,0.20484785,0.20484785,0.4804,   1/  3,3.85901642
0,4,6,0.20479209,0.20016069,0.20016069,0.4848,   1/  3,3.84857035
0,4,7,0.20521832,0.20185281,0.20016069,0.5013,   2/  3,3.85790372
0,4,8,0.20395814,0.19838978,0.19838978,0.5021,   2/  3,3.87667656
0,4,9,0.20545908,0.20630999,0.19838978,0.4693,   3/  3,3.90258145
0,5,0,0.32315543,0.26096087,0.26096087,0.3579,   0/  3,5.1790874
0,5,1,0.23628757,0.22708274,0.22708274,0.4338,   0/  3,5.25132203
0,5,2,0.21501786,0.21085569,0.21085569,0.4931,   0/  3,5.24236727
0,5,3,0.20400696,0.20125435,0.20125435,0.5841,   0/  3,5.23886776
0,5,4,0.19509664,0.1960603,0.1960603,0.6148,   0/  3,5.24131608
0,5,5,0.18970165,0.19210386,0.19210386,0.5999,   0/  3,5.24207306
0,5,6,0.1868675,0.19503985,0.19210386,0.5767,   1/  3,5.2507019
0,5,7,0.18431097,0.186201,0.186201,0.5943,   1/  3,5.25576854
0,5,8,0.18297969,0.18413235,0.18413235,0.5925,   1/  3,5.30705976
0,5,9,0.18020411,0.18811099,0.18413235,0.5961,   2/  3,5.3560431
0,5,10,0.17801417,0.18380068,0.18380068,0.5776,   2/  3,5.37254286
0,5,11,0.17674284,0.18784912,0.18380068,0.5659,   3/  3,5.44095302
0,6,0,0.293696,0.23116529,0.23116529,0.4101,   0/  3,4.46150494
0,6,1,0.2277165,0.2220443,0.2220443,0.4369,   0/  3,4.48678541
0,6,2,0.22254168,0.22425576,0.2220443,0.4067,   1/  3,4.48543692
0,6,3,0.22028712,0.21911429,0.21911429,0.4534,   1/  3,4.48107672
0,6,4,0.2194715,0.21775172,0.21775172,0.4543,   1/  3,4.48052931
