Generation,PID,Epoch, Training Loss, Validation Loss,Best Loss(Generation), Accuracy,EarlyStopCount,Runtime
0,0,0,0.24833449,0.20177421,0.20177421,0.5585,   0/  3,3.38999391
0,0,1,0.19318807,0.18551702,0.18551702,0.5932,   0/  3,3.41714859
0,0,2,0.18244229,0.18380572,0.18380572,0.6115,   0/  3,3.42979336
0,0,3,0.17616511,0.17203896,0.17203896,0.6236,   0/  3,3.42032433
0,0,4,0.17213161,0.16935359,0.16935359,0.6349,   0/  3,3.42015195
0,0,5,0.17058267,0.16775666,0.16775666,0.6377,   0/  3,3.4286983
0,0,6,0.16669212,0.16229053,0.16229053,0.6613,   0/  3,3.42306042
0,0,7,0.16545172,0.16172613,0.16172613,0.6648,   0/  3,3.42746139
0,0,8,0.16320876,0.15794512,0.15794512,0.6678,   0/  3,3.43168044
0,0,9,0.163012,0.17575847,0.15794512,0.6422,   1/  3,3.47474384
0,0,10,0.16279338,0.16010676,0.15794512,0.6736,   2/  3,3.58124733
0,0,11,0.16365193,0.16649824,0.15794512,0.6571,   3/  3,3.61512017
0,1,0,0.34893217,0.32499428,0.32499428,0.1135,   0/  3,3.33916354
0,1,1,0.3250125,0.32497102,0.32497102,0.1135,   0/  3,3.36987472
0,1,2,0.32501207,0.3249725,0.32497102,0.1135,   1/  3,3.37290692
0,1,3,0.32501988,0.32504671,0.32497102,0.101,   2/  3,3.37295556
0,1,4,0.32500947,0.32498854,0.32497102,0.1135,   3/  3,3.37534094
0,2,0,0.37658324,0.32495626,0.32495626,0.1135,   0/  3,3.79444337
0,2,1,0.32496484,0.32490087,0.32490087,0.1135,   0/  3,3.81315899
0,2,2,0.32495509,0.32492543,0.32490087,0.1135,   1/  3,3.81813312
0,2,3,0.32495583,0.32493349,0.32490087,0.1135,   2/  3,3.81508088
0,2,4,0.32496031,0.3249291,0.32490087,0.1135,   3/  3,3.81318665
0,3,0,0.30310274,0.24939226,0.24939226,0.3378,   0/  3,4.01482177
0,3,1,0.24178996,0.23977765,0.23977765,0.3473,   0/  3,4.05586982
0,3,2,0.23850661,0.24014789,0.23977765,0.3526,   1/  3,4.05692124
0,3,3,0.23743269,0.23713121,0.23713121,0.3719,   1/  3,4.0588448
0,3,4,0.23762172,0.23407667,0.23407667,0.3751,   1/  3,4.06988049
0,3,5,0.23493856,0.23612579,0.23407667,0.3745,   2/  3,4.05882978
0,3,6,0.23459907,0.23412559,0.23407667,0.3737,   3/  3,4.06876493
0,4,0,0.2048013,0.16841932,0.16841932,0.6303,   0/  3,3.93184543
