Generation,PID,Epoch, Training Loss, Validation Loss,Best loss (Generation), Accuracy,EarlyStopCount,Runtime
0,0,0,0.22880854,0.16660834,0.16660834,0.6548,   0/  3,3.41521072
0,0,1,0.15644694,0.15214815,0.15214815,0.7039,   0/  3,3.46277881
0,0,2,0.1486622,0.1482653,0.1482653,0.7125,   0/  3,3.46651673
0,0,3,0.14259934,0.14126822,0.14126822,0.7337,   0/  3,3.47245002
0,0,4,0.13278024,0.12284344,0.12284344,0.774,   0/  3,3.46573925
0,0,5,0.11832391,0.12502459,0.12284344,0.7758,   1/  3,3.46448755
0,0,6,0.11470944,0.12461838,0.12284344,0.7695,   2/  3,3.4704361
0,0,7,0.11172439,0.11536263,0.11536263,0.7802,   2/  3,3.47337818
0,0,8,0.10983167,0.11368149,0.11368149,0.7831,   2/  3,3.48565221
0,0,9,0.10823184,0.11206504,0.11206504,0.7907,   2/  3,3.5356884
0,0,10,0.10808732,0.11387373,0.11206504,0.797,   3/  3,3.61742377
0,1,0,0.33078641,0.29157244,0.29157244,0.2774,   0/  3,3.23676062
0,1,1,0.28185386,0.2803032,0.2803032,0.3166,   0/  3,3.24863553
0,1,2,0.27580304,0.27480817,0.27480817,0.3422,   0/  3,3.25605202
0,1,3,0.27444125,0.27484074,0.27480817,0.3183,   1/  3,3.25497127
0,1,4,0.27347801,0.27527891,0.27480817,0.3205,   2/  3,3.25049472
0,1,5,0.27274282,0.27374975,0.27374975,0.3221,   2/  3,3.25775933
0,1,6,0.27239781,0.27417574,0.27374975,0.3389,   3/  3,3.2434907
0,2,0,0.38530946,0.32503657,0.32503657,0.1135,   0/  3,3.79686737
0,2,1,0.32495998,0.32492405,0.32492405,0.1135,   0/  3,3.81309414
0,2,2,0.32495535,0.32493074,0.32492405,0.1135,   1/  3,3.81068277
0,2,3,0.32495383,0.32495622,0.32492405,0.1135,   2/  3,3.82131577
0,2,4,0.32495635,0.32491278,0.32491278,0.1135,   2/  3,3.81890917
0,2,5,0.3249549,0.32490571,0.32490571,0.1135,   2/  3,3.81188846
0,2,6,0.3249562,0.32491657,0.32490571,0.1135,   3/  3,3.82253981
0,3,0,0.14736727,0.10131385,0.10131385,0.8298,   0/  3,3.96934271
0,3,1,0.09515402,0.09096736,0.09096736,0.8535,   0/  3,4.00457668
0,3,2,0.08779319,0.08092698,0.08092698,0.8642,   0/  3,4.00039339
0,3,3,0.08479157,0.08372152,0.08092698,0.86,   1/  3,4.00453281
0,3,4,0.08224156,0.08598944,0.08092698,0.8599,   2/  3,4.00703073
0,3,5,0.08129641,0.08365738,0.08092698,0.8569,   3/  3,4.00515199
0,4,0,0.24127245,0.18876504,0.18876504,0.6025,   0/  3,3.90953827
0,4,1,0.17536422,0.16975647,0.16975647,0.6428,   0/  3,3.92579055
0,4,2,0.16492104,0.16605977,0.16605977,0.6516,   0/  3,3.93192625
0,4,3,0.16079811,0.16194061,0.16194061,0.6722,   0/  3,3.92866302
0,4,4,0.15804315,0.15714657,0.15714657,0.6827,   0/  3,3.93627238
0,4,5,0.15646505,0.16040779,0.15714657,0.6756,   1/  3,3.92904735
0,4,6,0.15473008,0.15481803,0.15481803,0.671,   1/  3,3.93870187
0,4,7,0.15409359,0.15215888,0.15215888,0.6962,   1/  3,3.93119073
0,4,8,0.15321354,0.15610467,0.15215888,0.6919,   2/  3,3.93869686
0,4,9,0.15248904,0.15092344,0.15092344,0.7038,   2/  3,3.96685505
0,4,10,0.15293979,0.15218677,0.15092344,0.6986,   3/  3,4.0142827
0,5,0,0.27106469,0.19058767,0.19058767,0.5863,   0/  3,3.48458576
