Generation,PID, Epoch, Training Loss, Validation Loss,Best Loss(Generation), Accuracy,EarlyStopCount,RunTime
0,0,0,0.33363914,0.32512658,0.32512658,0.1135,   0/  3,3.21071625
0,0,1,0.32508155,0.32513576,0.32512658,0.1135,   1/  3,3.24061799
0,0,2,0.32511057,0.32509125,0.32509125,0.1135,   1/  3,3.22675967
0,0,3,0.3251182,0.32497682,0.32497682,0.1135,   1/  3,3.23577499
0,0,4,0.3251012,0.32496469,0.32496469,0.1135,   1/  3,3.23330927
0,0,5,0.32508559,0.32500553,0.32496469,0.1135,   2/  3,3.22681093
0,0,6,0.32509753,0.32503996,0.32496469,0.1135,   3/  3,3.23034906
0,1,0,0.2982161,0.20656269,0.20656269,0.4628,   0/  3,3.42904568
0,1,1,0.16423521,0.14194711,0.14194711,0.7611,   0/  3,3.50929022
0,1,2,0.13455325,0.12903732,0.12903732,0.8003,   0/  3,3.50689363
0,1,3,0.12595795,0.12541566,0.12541566,0.8091,   0/  3,3.51471615
0,1,4,0.12167765,0.12244868,0.12244868,0.8232,   0/  3,3.50931978
0,1,5,0.11731683,0.1270673,0.12244868,0.7971,   1/  3,3.51309538
0,1,6,0.11247405,0.11280185,0.11280185,0.8428,   1/  3,3.51032495
0,1,7,0.10984481,0.11528038,0.11280185,0.8373,   2/  3,3.52038622
0,1,8,0.108369,0.10942665,0.10942665,0.8458,   2/  3,3.54149723
0,1,9,0.10755746,0.10905286,0.10905286,0.8463,   2/  3,3.61095381
0,1,10,0.10637749,0.11081856,0.10905286,0.8442,   3/  3,3.69028234
0,2,0,0.33462366,0.32502811,0.32502811,0.1135,   0/  3,3.86287117
0,2,1,0.32510497,0.32503789,0.32502811,0.1028,   1/  3,3.87074924
0,2,2,0.32509838,0.32538946,0.32502811,0.0958,   2/  3,3.87768435
0,2,3,0.32513671,0.32505219,0.32502811,0.1032,   3/  3,3.87134147
0,3,0,0.18502388,0.14299533,0.14299533,0.7241,   0/  3,3.5889287
0,3,1,0.13434292,0.1235617,0.1235617,0.7647,   0/  3,3.64394116
0,3,2,0.12603503,0.11845373,0.11845373,0.7884,   0/  3,3.64279437
0,3,3,0.12277478,0.11615791,0.11615791,0.7901,   0/  3,3.64075303
0,3,4,0.12026648,0.11610041,0.11610041,0.7928,   0/  3,3.6433754
0,3,5,0.11793011,0.11276478,0.11276478,0.7997,   0/  3,3.64437532
0,3,6,0.11709375,0.12523874,0.11276478,0.7766,   1/  3,3.63954425
0,3,7,0.11612472,0.11590396,0.11276478,0.7999,   2/  3,3.64706874
0,3,8,0.11614563,0.11467572,0.11276478,0.7979,   3/  3,3.65331769
0,4,0,0.34754131,0.32498719,0.32498719,0.1135,   0/  3,3.89252067
0,4,1,0.32502722,0.32507162,0.32498719,0.1135,   1/  3,3.91836619
0,4,2,0.32502771,0.32499063,0.32498719,0.1135,   2/  3,3.91270304
0,4,3,0.32502446,0.32505034,0.32498719,0.1135,   3/  3,3.9205339
0,5,0,0.31386337,0.2577132,0.2577132,0.3547,   0/  3,3.88007498
0,5,1,0.23033127,0.2102905,0.2102905,0.5026,   0/  3,3.91846991
0,5,2,0.20337151,0.18386452,0.18386452,0.5631,   0/  3,3.9117353
0,5,3,0.18237981,0.17848577,0.17848577,0.6035,   0/  3,3.91506982
0,5,4,0.17745724,0.17504698,0.17504698,0.5911,   0/  3,3.92037344
0,5,5,0.17497387,0.17430104,0.17430104,0.5999,   0/  3,3.90652585
0,5,6,0.17400942,0.18136039,0.17430104,0.5682,   1/  3,3.9095552
0,5,7,0.17330126,0.17773792,0.17430104,0.613,   2/  3,3.91876721
0,5,8,0.17337416,0.1766925,0.17430104,0.617,   3/  3,3.9476831
0,6,0,0.3561838,0.29346393,0.29346393,0.217,   0/  3,4.18681002
0,6,1,0.29131335,0.28791456,0.28791456,0.2289,   0/  3,4.23114729
0,6,2,0.28521797,0.2780786,0.2780786,0.2697,   0/  3,4.22373962
0,6,3,0.27872527,0.27583002,0.27583002,0.2924,   0/  3,4.23352289
0,6,4,0.27753156,0.27656891,0.27583002,0.3231,   1/  3,4.22934818
0,6,5,0.27684134,0.27449139,0.27449139,0.2746,   1/  3,4.23330617
0,6,6,0.27630605,0.27468473,0.27449139,0.2844,   2/  3,4.22614598
0,6,7,0.27587592,0.27467501,0.27449139,0.278,   3/  3,4.22927594
0,7,0,0.34972136,0.32498491,0.32498491,0.1135,   0/  3,3.38583517
0,7,1,0.32503574,0.32500992,0.32498491,0.1135,   1/  3,3.4226439
0,7,2,0.3250296,0.32498235,0.32498235,0.1135,   1/  3,3.42764068
0,7,3,0.3250293,0.32500583,0.32498235,0.1028,   2/  3,3.42218494
0,7,4,0.32502513,0.32493564,0.32493564,0.1135,   2/  3,3.41653275
0,7,5,0.32502531,0.32495611,0.32493564,0.1135,   3/  3,3.42682123
0,8,0,0.24237334,0.16705801,0.16705801,0.6348,   0/  3,3.56345153
0,8,1,0.13600686,0.10860476,0.10860476,0.8205,   0/  3,3.61316609
0,8,2,0.10731905,0.10192532,0.10192532,0.826,   0/  3,3.61109066
0,8,3,0.10000615,0.09741596,0.09741596,0.8403,   0/  3,3.62090182
0,8,4,0.09674179,0.09489933,0.09489933,0.8407,   0/  3,3.61604238
0,8,5,0.09486629,0.09373708,0.09373708,0.8476,   0/  3,3.62025476
0,8,6,0.09369763,0.09670462,0.09373708,0.8431,   1/  3,3.62695384
0,8,7,0.0921728,0.09258018,0.09258018,0.8458,   1/  3,3.61881852
0,8,8,0.09026533,0.09142102,0.09142102,0.8523,   1/  3,3.62594247
0,8,9,0.08971021,0.09055651,0.09055651,0.8526,   1/  3,3.68209028
0,8,10,0.08938593,0.09308341,0.09055651,0.8481,   2/  3,3.82169938
0,8,11,0.08896422,0.09008179,0.09008179,0.8544,   2/  3,3.87175798
0,8,12,0.08850916,0.08960105,0.08960105,0.8556,   2/  3,3.94178748
0,8,13,0.08828204,0.10002333,0.08960105,0.8396,   3/  3,4.25812078
0,9,0,0.34527597,0.3249765,0.3249765,0.1028,   0/  3,3.42130017
0,9,1,0.32504071,0.32501612,0.3249765,0.1028,   1/  3,3.45648074
0,9,2,0.32503896,0.3249555,0.3249555,0.1135,   1/  3,3.45267344
0,9,3,0.32503976,0.32499006,0.3249555,0.1135,   2/  3,3.45102406
0,9,4,0.32503859,0.32507088,0.3249555,0.1028,   3/  3,3.45670152
1,0,0,0.31689035,0.27388794,0.27388794,0.3038,   0/  3,4.01222539
1,0,1,0.2693654,0.26536517,0.26536517,0.353,   0/  3,4.04450202
1,0,2,0.26529329,0.26350621,0.26350621,0.3799,   0/  3,4.04652834
1,0,3,0.26240939,0.25970416,0.25970416,0.343,   0/  3,4.04035878
1,0,4,0.25984842,0.25918412,0.25918412,0.3852,   0/  3,4.03766131
1,0,5,0.25855473,0.26171221,0.25918412,0.3893,   1/  3,4.05724621
1,0,6,0.25833102,0.25800951,0.25800951,0.4022,   1/  3,4.04638147
1,0,7,0.25711133,0.2621697,0.25800951,0.4103,   2/  3,4.05482626
1,0,8,0.25738673,0.25931537,0.25800951,0.3918,   3/  3,4.08138776
1,1,0,0.32144299,0.26601851,0.26601851,0.3279,   0/  3,3.75554228
1,1,1,0.26332618,0.26059817,0.26059817,0.3296,   0/  3,3.76831484
1,1,2,0.26116113,0.26052758,0.26052758,0.3038,   0/  3,3.77618742
1,1,3,0.25988428,0.259807,0.259807,0.3177,   0/  3,3.77871752
1,1,4,0.25954156,0.26050433,0.259807,0.3426,   1/  3,3.77023911
1,1,5,0.25984088,0.26325912,0.259807,0.2981,   2/  3,3.78018069
1,1,6,0.26014836,0.25785699,0.25785699,0.3275,   2/  3,3.78491545
1,1,7,0.25889085,0.25870664,0.25785699,0.32,   3/  3,3.78686094
1,2,0,0.31711786,0.28390212,0.28390212,0.3135,   0/  3,3.76703024
1,2,1,0.27859834,0.27572772,0.27572772,0.3048,   0/  3,3.78151655
1,2,2,0.27459611,0.27168819,0.27168819,0.3495,   0/  3,3.78600693
1,2,3,0.27051107,0.26612721,0.26612721,0.3609,   0/  3,3.79515934
1,2,4,0.26482845,0.2614802,0.2614802,0.3646,   0/  3,3.78925776
1,2,5,0.26095497,0.2598936,0.2598936,0.3701,   0/  3,3.78420687
1,2,6,0.25811308,0.25810468,0.25810468,0.3773,   0/  3,3.78835607
1,2,7,0.2561023,0.25599764,0.25599764,0.364,   0/  3,3.80219865
1,2,8,0.25477474,0.25442559,0.25442559,0.367,   0/  3,3.79967904
1,2,9,0.25371768,0.25263505,0.25263505,0.3762,   0/  3,3.80715919
1,2,10,0.25285313,0.2515817,0.2515817,0.3519,   0/  3,3.83070803
1,2,11,0.25102536,0.24375169,0.24375169,0.3818,   0/  3,3.84003115
1,2,12,0.24260655,0.24113143,0.24113143,0.3828,   0/  3,3.8659277
1,2,13,0.24083951,0.24171666,0.24113143,0.4067,   1/  3,3.9081769
