Generation,PID,Epoch,Training Loss,Validation Loss,Best Loss(Generation), Accuracy,EarlyStopCount,Runtime
0,0,0,0.37916829,0.32496558,0.32496558,0.1135,   0/  3,3.23405719
0,0,1,0.32496113,0.32489959,0.32489959,0.1135,   0/  3,3.2504847
0,0,2,0.32495565,0.3249238,0.32489959,0.1135,   1/  3,3.24775553
0,0,3,0.32495185,0.32493459,0.32489959,0.1135,   2/  3,3.25229883
0,0,4,0.3249579,0.32492511,0.32489959,0.1135,   3/  3,3.24386096
0,1,0,0.38392542,0.3250089,0.3250089,0.1135,   0/  3,3.93700171
0,1,1,0.32496475,0.32492201,0.32492201,0.1135,   0/  3,3.96102309
0,1,2,0.32495558,0.32492381,0.32492201,0.1135,   1/  3,3.95476556
0,1,3,0.32495295,0.32494068,0.32492201,0.1135,   2/  3,3.96098566
0,1,4,0.32495729,0.3249348,0.32492201,0.1135,   3/  3,3.94976449
0,2,0,0.33930896,0.29438487,0.29438487,0.2192,   0/  3,3.90833497
0,2,1,0.28418722,0.27798187,0.27798187,0.2655,   0/  3,3.92540741
0,2,2,0.27726805,0.27603407,0.27603407,0.2746,   0/  3,3.92753816
0,2,3,0.27577569,0.27548892,0.27548892,0.2723,   0/  3,3.92477345
0,2,4,0.27517242,0.27436633,0.27436633,0.2609,   0/  3,3.92560291
0,2,5,0.27481585,0.2745114,0.27436633,0.2612,   1/  3,3.92744756
0,2,6,0.27471553,0.27464757,0.27436633,0.2616,   2/  3,3.92693186
0,2,7,0.27457126,0.27394535,0.27394535,0.2645,   2/  3,3.92790151
0,2,8,0.27453688,0.27434322,0.27394535,0.265,   3/  3,3.93596816
0,3,0,0.34287918,0.29197098,0.29197098,0.2026,   0/  3,3.91484857
0,3,1,0.28441307,0.27563441,0.27563441,0.2993,   0/  3,3.92040229
0,3,2,0.27310665,0.27207773,0.27207773,0.3497,   0/  3,3.92871284
0,3,3,0.27182839,0.27156784,0.27156784,0.3325,   0/  3,3.92053652
0,3,4,0.27159271,0.27181869,0.27156784,0.3238,   1/  3,3.92217612
0,3,5,0.27147728,0.27162815,0.27156784,0.3251,   2/  3,3.92584634
0,3,6,0.2713891,0.27173758,0.27156784,0.3444,   3/  3,3.92999196
0,4,0,0.27708713,0.2417871,0.2417871,0.3599,   0/  3,3.8866837
0,4,1,0.23707522,0.23168366,0.23168366,0.4131,   0/  3,3.91138816
0,4,2,0.22592224,0.22605922,0.22605922,0.4319,   0/  3,3.91175032
0,4,3,0.22083773,0.22092241,0.22092241,0.4571,   0/  3,3.91536617
0,4,4,0.21723936,0.21595806,0.21595806,0.4549,   0/  3,3.90851092
0,4,5,0.21487064,0.21800509,0.21595806,0.4666,   1/  3,3.91109586
0,4,6,0.21261141,0.21203974,0.21203974,0.4716,   1/  3,3.90926981
0,4,7,0.21005637,0.2067287,0.2067287,0.4843,   1/  3,3.91007066
0,4,8,0.19704213,0.19155774,0.19155774,0.5151,   1/  3,3.91464758
0,4,9,0.1905757,0.1895907,0.1895907,0.5192,   1/  3,3.92490435
0,4,10,0.18845375,0.18787215,0.18787215,0.5276,   1/  3,3.94241357
0,4,11,0.18708674,0.18715563,0.18715563,0.5332,   1/  3,3.95639968
0,4,12,0.1863819,0.19289289,0.18715563,0.5028,   2/  3,3.95309138
0,4,13,0.18581547,0.18522449,0.18522449,0.5348,   2/  3,3.99296069
0,4,14,0.18543629,0.18531288,0.18522449,0.5277,   3/  3,3.99628425
0,5,0,0.32320991,0.27949179,0.27949179,0.2611,   0/  3,3.26022673
0,5,1,0.2802627,0.27656819,0.27656819,0.2864,   0/  3,3.27700138
0,5,2,0.27858649,0.27670001,0.27656819,0.3005,   1/  3,3.27731371
0,5,3,0.27668588,0.27417689,0.27417689,0.2791,   1/  3,3.27717352
0,5,4,0.27374694,0.28187478,0.27417689,0.2734,   2/  3,3.27598739
0,5,5,0.27285258,0.27276271,0.27276271,0.3144,   2/  3,3.27992821
0,5,6,0.27263436,0.27414303,0.27276271,0.2875,   3/  3,3.27625489
0,6,0,0.37978103,0.32505558,0.32505558,0.1028,   0/  3,3.28138757
0,6,1,0.32496076,0.32491147,0.32491147,0.1135,   0/  3,3.2997458
0,6,2,0.32495408,0.32494605,0.32491147,0.1135,   1/  3,3.2958653
0,6,3,0.32495554,0.32491448,0.32491147,0.1135,   2/  3,3.30452037
0,6,4,0.32495662,0.32492039,0.32491147,0.1135,   3/  3,3.30288959
0,7,0,0.35393789,0.32494683,0.32494683,0.1135,   0/  3,3.87944984
0,7,1,0.32324218,0.32157817,0.32157817,0.1135,   0/  3,3.88400483
0,7,2,0.31244134,0.30135822,0.30135822,0.2078,   0/  3,3.88628387
0,7,3,0.29112374,0.2835572,0.2835572,0.2112,   0/  3,3.87473726
0,7,4,0.27906032,0.27734562,0.27734562,0.2094,   0/  3,3.87709379
0,7,5,0.27418403,0.27491489,0.27491489,0.2103,   0/  3,3.87713742
0,7,6,0.27226144,0.27231434,0.27231434,0.2113,   0/  3,3.88776731
0,7,7,0.27087792,0.2713383,0.2713383,0.2099,   0/  3,3.87768412
0,7,8,0.33979051,0.32493973,0.2713383,0.1135,   1/  3,3.89971352
0,7,9,0.32495473,0.32492968,0.2713383,0.1135,   2/  3,3.92259789
0,7,10,0.32495838,0.32492395,0.2713383,0.1135,   3/  3,3.93965125
0,8,0,0.33555149,0.31701386,0.31701386,0.1829,   0/  3,3.92075801
0,8,1,0.29478326,0.28530612,0.28530612,0.2492,   0/  3,3.93311977
0,8,2,0.28253134,0.28063374,0.28063374,0.2676,   0/  3,3.94128752
0,8,3,0.27945836,0.27769525,0.27769525,0.2775,   0/  3,3.93557835
0,8,4,0.27678611,0.27471829,0.27471829,0.2866,   0/  3,3.93965769
0,8,5,0.27512915,0.2745002,0.2745002,0.2889,   0/  3,3.9344573
0,8,6,0.27330259,0.27202014,0.27202014,0.2938,   0/  3,3.93360519
0,8,7,0.27206813,0.27156864,0.27156864,0.2726,   0/  3,3.93006277
0,8,8,0.27117991,0.27035072,0.27035072,0.29,   0/  3,3.94012284
0,8,9,0.27091353,0.27124895,0.27035072,0.2794,   1/  3,3.94912219
