Generation,PID,Epoch,Training Loss,Validation Loss,Best Loss(Generation),Accuracy,EarlyStop Count,Runtim
0,0,0,0.38441059,0.3250073,0.3250073,0.1135,   0/  3,3.27150035
0,0,1,0.32497243,0.32491685,0.32491685,0.1135,   0/  3,3.29906797
0,0,2,0.32495623,0.32491343,0.32491343,0.1135,   0/  3,3.29178357
0,0,3,0.32495511,0.32491971,0.32491343,0.1135,   1/  3,3.30376124
0,0,4,0.32495453,0.324907,0.324907,0.1135,   1/  3,3.30177093
0,0,5,0.32495736,0.32491789,0.324907,0.1135,   2/  3,3.29936242
0,0,6,0.32495168,0.32491946,0.324907,0.1135,   3/  3,3.30489373
0,1,0,0.39497564,0.32504616,0.32504616,0.1135,   0/  3,3.29812336
0,1,1,0.32496268,0.32493831,0.32493831,0.1135,   0/  3,3.31628966
0,1,2,0.3249566,0.32492505,0.32492505,0.1135,   0/  3,3.31667399
0,1,3,0.32495095,0.32493054,0.32492505,0.1135,   1/  3,3.32294512
0,1,4,0.32495551,0.32492944,0.32492505,0.1135,   2/  3,3.31655574
0,1,5,0.32495788,0.32491389,0.32491389,0.1135,   2/  3,3.31739688
0,1,6,0.324956,0.32494908,0.32491389,0.1135,   3/  3,3.31865191
0,2,0,0.35806493,0.32504167,0.32504167,0.1135,   0/  3,3.83585691
0,2,1,0.32504824,0.32498353,0.32498353,0.1135,   0/  3,3.85491776
0,2,2,0.32504667,0.32514116,0.32498353,0.1135,   1/  3,3.8550148
0,2,3,0.32504192,0.3250148,0.32498353,0.1032,   2/  3,3.84734964
0,2,4,0.32506583,0.32502769,0.32498353,0.1135,   3/  3,3.85299325
0,3,0,0.34098845,0.32497038,0.32497038,0.1135,   0/  3,3.92594838
0,3,1,0.32505315,0.32496877,0.32496877,0.1135,   0/  3,3.94871569
0,3,2,0.32505203,0.32494704,0.32494704,0.1135,   0/  3,3.95732474
0,3,3,0.32506431,0.32504305,0.32494704,0.101,   1/  3,3.95873475
0,3,4,0.32506192,0.32500833,0.32494704,0.1135,   2/  3,3.95495725
0,3,5,0.32504593,0.32513497,0.32494704,0.1135,   3/  3,3.95705533
0,4,0,0.33481992,0.31595391,0.31595391,0.2332,   0/  3,3.30234599
0,4,1,0.27050229,0.26280971,0.26280971,0.3185,   0/  3,3.33289838
0,4,2,0.25845092,0.25892154,0.25892154,0.3261,   0/  3,3.3263247
0,4,3,0.25627752,0.25961636,0.25892154,0.335,   1/  3,3.33125448
0,4,4,0.25341794,0.259265,0.25892154,0.3425,   2/  3,3.33220911
0,4,5,0.25209782,0.25419246,0.25419246,0.3444,   2/  3,3.33855724
0,4,6,0.25143764,0.25265133,0.25265133,0.3369,   2/  3,3.33275104
0,4,7,0.25115096,0.25169293,0.25169293,0.3431,   2/  3,3.33602691
0,4,8,0.25086947,0.25496691,0.25169293,0.3557,   3/  3,3.33551359
0,5,0,0.365535,0.32500489,0.32500489,0.1028,   0/  3,3.96834517
0,5,1,0.3250048,0.32494504,0.32494504,0.1135,   0/  3,3.99095178
