Generation,PID,Epoch,Training Loss,Validation Loss,Best Loss(Generation), Accuracy,StopCount,Runtime
0,0,0,0.32692447,0.28161687,0.28161687,0.2129,   0/  3,3.20744491
0,0,1,0.28256483,0.28062784,0.28062784,0.2245,   0/  3,3.2244401
0,0,2,0.27834935,0.27344011,0.27344011,0.2595,   0/  3,3.22147059
0,0,3,0.27365904,0.26589184,0.26589184,0.2817,   0/  3,3.22249675
0,0,4,0.26413496,0.25735516,0.25735516,0.2887,   0/  3,3.2144556
0,0,5,0.25934653,0.26230265,0.25735516,0.2821,   1/  3,3.21520162
0,0,6,0.2579528,0.25589642,0.25589642,0.306,   1/  3,3.22155309
0,0,7,0.25727968,0.25477804,0.25477804,0.3084,   1/  3,3.21453547
0,0,8,0.25680026,0.25408924,0.25408924,0.2831,   1/  3,3.21286225
0,0,9,0.25642705,0.25585475,0.25408924,0.2937,   2/  3,3.22011161
0,0,10,0.25619599,0.25486662,0.25408924,0.2987,   3/  3,3.24859023
0,1,0,0.33359286,0.28901517,0.28901517,0.2346,   0/  3,3.14843822
0,1,1,0.28106465,0.27914732,0.27914732,0.2462,   0/  3,3.16666746
0,1,2,0.27640032,0.27560957,0.27560957,0.2908,   0/  3,3.15836215
0,1,3,0.27446585,0.27300762,0.27300762,0.2794,   0/  3,3.15603161
0,1,4,0.27327451,0.27291832,0.27291832,0.2733,   0/  3,3.16356206
0,1,5,0.27012038,0.26119027,0.26119027,0.3201,   0/  3,3.16647744
0,1,6,0.25930654,0.25711917,0.25711917,0.3184,   0/  3,3.16995168
0,1,7,0.25715734,0.25897677,0.25711917,0.3186,   1/  3,3.16708398
0,1,8,0.25599351,0.25529652,0.25529652,0.3135,   1/  3,3.16537213
0,1,9,0.25527439,0.25945541,0.25529652,0.3184,   2/  3,3.16943002
0,1,10,0.25471899,0.25410712,0.25410712,0.3323,   2/  3,3.18197727
0,1,11,0.2543208,0.25590948,0.25410712,0.3215,   3/  3,3.2023952
0,2,0,0.38139087,0.32505444,0.32505444,0.1135,   0/  3,3.32254839
0,2,1,0.32496945,0.32491153,0.32491153,0.1135,   0/  3,3.34497881
0,2,2,0.32497379,0.32492622,0.32491153,0.1135,   1/  3,3.34086323
0,2,3,0.32496167,0.32491134,0.32491134,0.1135,   1/  3,3.33984208
0,2,4,0.3249681,0.32490747,0.32490747,0.1135,   1/  3,3.33837819
0,2,5,0.32496318,0.32494119,0.32490747,0.1135,   2/  3,3.34231091
0,2,6,0.32496524,0.32493644,0.32490747,0.1135,   3/  3,3.34053993
0,3,0,0.34506237,0.32491187,0.32491187,0.1135,   0/  3,3.21882677
0,3,1,0.32500687,0.32494515,0.32491187,0.1135,   1/  3,3.23887014
0,3,2,0.32502019,0.32493861,0.32491187,0.1135,   2/  3,3.23775887
0,3,3,0.32502662,0.32497592,0.32491187,0.1028,   3/  3,3.24497318
0,4,0,0.40047307,0.32512687,0.32512687,0.1135,   0/  3,3.1591239
0,4,1,0.32497505,0.32491585,0.32491585,0.1135,   0/  3,3.17755604
0,4,2,0.32495517,0.32493508,0.32491585,0.1135,   1/  3,3.17709637
0,4,3,0.32495395,0.32495495,0.32491585,0.1135,   2/  3,3.17427182
0,4,4,0.32495126,0.32490507,0.32490507,0.1135,   2/  3,3.17986846
0,4,5,0.32495696,0.32491591,0.32490507,0.1135,   3/  3,3.17796421
0,5,0,0.39994477,0.32505095,0.32505095,0.1135,   0/  3,3.77467847
0,5,1,0.32497205,0.3249228,0.3249228,0.1135,   0/  3,3.77793598
0,5,2,0.32495623,0.32492332,0.3249228,0.1135,   1/  3,3.78600049
0,5,3,0.32495481,0.32494633,0.3249228,0.1135,   2/  3,3.78619552
0,5,4,0.32495696,0.32492862,0.3249228,0.1135,   3/  3,3.7837038
0,6,0,0.31051941,0.26300855,0.26300855,0.2497,   0/  3,3.96868229
0,6,1,0.25856266,0.25514927,0.25514927,0.2944,   0/  3,3.98555779
0,6,2,0.25475513,0.25564387,0.25514927,0.2987,   1/  3,3.99150276
0,6,3,0.2538613,0.25430176,0.25430176,0.3114,   1/  3,3.98695922
0,6,4,0.25376324,0.25271921,0.25271921,0.3331,   1/  3,3.98163509
0,6,5,0.25343818,0.25308149,0.25271921,0.3359,   2/  3,3.98450923
0,6,6,0.25325657,0.25276063,0.25271921,0.3001,   3/  3,3.99036241
0,7,0,0.31025676,0.24509379,0.24509379,0.3639,   0/  3,3.93860579
0,7,1,0.23939507,0.2335897,0.2335897,0.376,   0/  3,3.97697592
0,7,2,0.22922999,0.22598168,0.22598168,0.4409,   0/  3,3.97706079
0,7,3,0.22472705,0.22447014,0.22447014,0.414,   0/  3,3.98126531
0,7,4,0.22272289,0.22282116,0.22282116,0.431,   0/  3,3.97703481
0,7,5,0.22155507,0.22384405,0.22282116,0.4348,   1/  3,3.97257996
0,7,6,0.22023214,0.22207616,0.22207616,0.4387,   1/  3,3.97342443
0,7,7,0.21910891,0.21920896,0.21920896,0.4363,   1/  3,3.97184157
0,7,8,0.21846124,0.21978378,0.21920896,0.4411,   2/  3,3.99411631
0,7,9,0.21788803,0.21881565,0.21881565,0.4265,   2/  3,4.02524972
0,7,10,0.21675116,0.21838477,0.21838477,0.4288,   2/  3,4.07461071
0,7,11,0.21633206,0.21751005,0.21751005,0.4253,   2/  3,4.08678174
0,7,12,0.21560388,0.21582957,0.21582957,0.4377,   2/  3,4.15686297
0,7,13,0.21505433,0.21517965,0.21517965,0.4336,   2/  3,4.25744653
0,7,14,0.21436586,0.21565085,0.21517965,0.4341,   3/  3,4.27082229
0,8,0,0.31221693,0.2673251,0.2673251,0.2963,   0/  3,3.41427279
0,8,1,0.26153165,0.25799621,0.25799621,0.303,   0/  3,3.43652058
0,8,2,0.25731889,0.25525848,0.25525848,0.3123,   0/  3,3.43671966
0,8,3,0.25607757,0.25562147,0.25525848,0.306,   1/  3,3.43631339
0,8,4,0.2552655,0.25405438,0.25405438,0.3077,   1/  3,3.43530536
0,8,5,0.25463804,0.25755616,0.25405438,0.2986,   2/  3,3.43323517
0,8,6,0.25441256,0.25397463,0.25397463,0.318,   2/  3,3.4388957
0,8,7,0.25407669,0.25245618,0.25245618,0.3135,   2/  3,3.43930674
0,8,8,0.25395155,0.25330501,0.25245618,0.3215,   3/  3,3.44398975
0,9,0,0.33335169,0.27496959,0.27496959,0.2591,   0/  3,3.90045595
0,9,1,0.26746353,0.26279169,0.26279169,0.2876,   0/  3,3.93228936
0,9,2,0.26295821,0.26113784,0.26113784,0.332,   0/  3,3.9237833
0,9,3,0.26215967,0.25984854,0.25984854,0.3224,   0/  3,3.92764378
0,9,4,0.2627829,0.26102369,0.25984854,0.3146,   1/  3,3.93714547
0,9,5,0.26143302,0.26251866,0.25984854,0.3182,   2/  3,3.94084334
0,9,6,0.26128064,0.2620479,0.25984854,0.3108,   3/  3,3.9392395
1,0,0,0.34352297,0.32499267,0.32499267,0.1135,   0/  3,3.22342181
1,0,1,0.32502407,0.32508919,0.32499267,0.0974,   1/  3,3.24634814
1,0,2,0.32501818,0.32495166,0.32495166,0.1135,   1/  3,3.24072504
1,0,3,0.32502352,0.32496451,0.32495166,0.1135,   2/  3,3.24456763
1,0,4,0.32502965,0.32496338,0.32495166,0.1135,   3/  3,3.24533033
1,1,0,0.38855193,0.32503543,0.32503543,0.1135,   0/  3,3.92766571
1,1,1,0.32496317,0.32491419,0.32491419,0.1135,   0/  3,3.95414066
1,1,2,0.32495601,0.3249178,0.32491419,0.1135,   1/  3,3.95757723
1,1,3,0.32494981,0.32498899,0.32491419,0.1135,   2/  3,3.95161104
1,1,4,0.32495745,0.32491471,0.32491419,0.1135,   3/  3,3.9499526
1,2,0,0.39009704,0.32501495,0.32501495,0.1135,   0/  3,3.27682137
1,2,1,0.32496052,0.32494133,0.32494133,0.1135,   0/  3,3.2906332
1,2,2,0.32495596,0.32493525,0.32493525,0.1135,   0/  3,3.28614831
1,2,3,0.32495857,0.32492312,0.32492312,0.1135,   0/  3,3.28441906
1,2,4,0.32494964,0.32492741,0.32492312,0.1135,   1/  3,3.29017043
1,2,5,0.32495761,0.32490784,0.32490784,0.1135,   1/  3,3.28843641
1,2,6,0.3249526,0.32492111,0.32490784,0.1135,   2/  3,3.28740144
1,2,7,0.32496019,0.32491153,0.32490784,0.1135,   3/  3,3.27977991
1,3,0,0.32481007,0.29053847,0.29053847,0.2849,   0/  3,3.82863736
1,3,1,0.28617106,0.28166661,0.28166661,0.2502,   0/  3,3.85107303
