Generation,PID, Epoch, Training Loss, Validation Loss,Best loss(Generation), Accuracy,EarlyStopCount,RunTime
0,0,0,0.301538,0.28147479,0.28147479,0.2117,   0/  3,5.49716878
0,0,1,0.2775598,0.25481633,0.25481633,0.2997,   0/  3,5.52966857
0,0,2,0.25010109,0.25587169,0.25481633,0.3162,   1/  3,5.54110765
0,0,3,0.24111601,0.2358391,0.2358391,0.3671,   1/  3,5.52646756
0,0,4,0.23357588,0.2341982,0.2341982,0.3751,   1/  3,5.52685571
0,0,5,0.22628006,0.22037066,0.22037066,0.4016,   1/  3,5.53844237
0,0,6,0.22322799,0.22351397,0.22037066,0.3924,   2/  3,5.53172207
0,0,7,0.22269482,0.22636269,0.22037066,0.3979,   3/  3,5.54949474
0,1,0,0.20626468,0.167689,0.167689,0.587,   0/  3,4.06721139
0,1,1,0.15414063,0.13008404,0.13008404,0.7353,   0/  3,4.10468435
0,1,2,0.13086393,0.12753212,0.12753212,0.7729,   0/  3,4.09870243
0,1,3,0.12356193,0.12022939,0.12022939,0.7773,   0/  3,4.09428596
0,1,4,0.12004741,0.12624004,0.12022939,0.769,   1/  3,4.10293984
0,1,5,0.11904162,0.1171597,0.1171597,0.7851,   1/  3,4.10172033
0,1,6,0.11690952,0.1132739,0.1132739,0.8016,   1/  3,4.09456706
0,1,7,0.11569348,0.11623577,0.1132739,0.7942,   2/  3,4.09896159
0,1,8,0.11508881,0.1167436,0.1132739,0.7936,   3/  3,4.11132789
0,2,0,0.33823712,0.32506304,0.32506304,0.1135,   0/  3,5.52159357
0,2,1,0.32507943,0.3250665,0.32506304,0.101,   1/  3,5.55334282
0,2,2,0.32506316,0.32514687,0.32506304,0.101,   2/  3,5.55550504
0,2,3,0.32508155,0.32502163,0.32502163,0.101,   2/  3,5.54937506
0,2,4,0.3250581,0.32495826,0.32495826,0.1135,   2/  3,5.55260229
0,2,5,0.32507587,0.32500017,0.32495826,0.1135,   3/  3,5.56025052
0,3,0,0.36044825,0.32502905,0.32502905,0.1135,   0/  3,3.34586501
0,3,1,0.32501988,0.32503669,0.32502905,0.1135,   1/  3,3.37298083
0,3,2,0.32502437,0.32497751,0.32497751,0.1135,   1/  3,3.37020969
0,3,3,0.32502015,0.32496693,0.32496693,0.1135,   1/  3,3.37055588
0,3,4,0.32501115,0.32500426,0.32496693,0.1135,   2/  3,3.37289214
0,3,5,0.32500947,0.32502956,0.32496693,0.1135,   3/  3,3.37332273
0,4,0,0.29947036,0.26124199,0.26124199,0.3288,   0/  3,4.23273587
0,4,1,0.25906709,0.25943413,0.25943413,0.3004,   0/  3,4.29074001
0,4,2,0.25738942,0.25581871,0.25581871,0.3026,   0/  3,4.29749036
0,4,3,0.25700259,0.25472593,0.25472593,0.3092,   0/  3,4.29455829
0,4,4,0.25631417,0.25497719,0.25472593,0.2961,   1/  3,4.29396367
0,4,5,0.25602761,0.25608535,0.25472593,0.2981,   2/  3,4.29162836
0,4,6,0.25582489,0.25457226,0.25457226,0.3292,   2/  3,4.29229069
0,4,7,0.25557694,0.25516275,0.25457226,0.2891,   3/  3,4.29336834
0,5,0,0.22966849,0.15612075,0.15612075,0.7459,   0/  3,4.83360529
0,5,1,0.13510279,0.13019904,0.13019904,0.7886,   0/  3,4.88688374
0,5,2,0.11661138,0.11093324,0.11093324,0.814,   0/  3,4.89410377
0,5,3,0.10602353,0.09795389,0.09795389,0.8197,   0/  3,4.89634681
0,5,4,0.10086267,0.09865634,0.09795389,0.8243,   1/  3,4.89708853
0,5,5,0.09651493,0.10541008,0.09795389,0.7929,   2/  3,4.90042686
0,5,6,0.09409596,0.0895396,0.0895396,0.8273,   2/  3,4.90275431
0,5,7,0.09128601,0.08998147,0.0895396,0.8205,   3/  3,4.90058613
0,6,0,0.33789674,0.32506461,0.32506461,0.1135,   0/  3,3.8681922
0,6,1,0.32510216,0.32494319,0.32494319,0.1135,   0/  3,3.88655949
0,6,2,0.32510771,0.32520643,0.32494319,0.101,   1/  3,3.88950467
0,6,3,0.32510583,0.3249799,0.32494319,0.1135,   2/  3,3.8949492
0,6,4,0.32508213,0.32512679,0.32494319,0.1135,   3/  3,3.89197946
0,7,0,0.38193744,0.3249647,0.3249647,0.1135,   0/  3,4.72636604
0,7,1,0.32496569,0.32491442,0.32491442,0.1135,   0/  3,4.75996804
