Generation,PID, Epoch, Training Loss, Validation Loss,Best loss(Generation), Accuracy,EarlyStopCount,Runtime
0,0,0,0.38198884,0.32499234,0.32499234,0.1135,   0/  3,3.16370344
0,0,1,0.32496559,0.32490214,0.32490214,0.1135,   0/  3,3.1809957
0,0,2,0.32494914,0.32493087,0.32490214,0.1135,   1/  3,3.17615795
0,0,3,0.32495311,0.32493362,0.32490214,0.1135,   2/  3,3.18386745
0,0,4,0.32495668,0.32492007,0.32490214,0.1135,   3/  3,3.17625809
0,1,0,0.32516298,0.27347236,0.27347236,0.2261,   0/  3,3.86124969
0,1,1,0.26381816,0.25921947,0.25921947,0.2851,   0/  3,3.88517141
0,1,2,0.25524458,0.25139162,0.25139162,0.2831,   0/  3,3.88365364
0,1,3,0.25170181,0.2516244,0.25139162,0.2698,   1/  3,3.89027762
0,1,4,0.25100236,0.25096761,0.25096761,0.3054,   1/  3,3.87636304
0,1,5,0.2501364,0.25130717,0.25096761,0.3004,   2/  3,3.88210797
0,1,6,0.24937131,0.24872393,0.24872393,0.2983,   2/  3,3.8906002
0,1,7,0.24852232,0.24920684,0.24872393,0.3071,   3/  3,3.89257884
0,2,0,0.38802729,0.32500475,0.32500475,0.1135,   0/  3,3.82887554
0,2,1,0.32496605,0.32491863,0.32491863,0.1135,   0/  3,3.84820795
0,2,2,0.32495069,0.32492923,0.32491863,0.1135,   1/  3,3.85178757
0,2,3,0.32495425,0.32491196,0.32491196,0.1135,   1/  3,3.84382415
0,2,4,0.32495455,0.32492621,0.32491196,0.1135,   2/  3,3.84275246
0,2,5,0.32495645,0.32492639,0.32491196,0.1135,   3/  3,3.83558488
0,3,0,0.32876778,0.31107719,0.31107719,0.202,   0/  3,4.4444437
0,3,1,0.29034941,0.28238075,0.28238075,0.2652,   0/  3,4.46277976
0,3,2,0.27604585,0.27473959,0.27473959,0.2774,   0/  3,4.46052647
0,3,3,0.27358374,0.27584086,0.27473959,0.2709,   1/  3,4.45232916
0,3,4,0.2731327,0.27412173,0.27412173,0.272,   1/  3,4.4562819
0,3,5,0.27286512,0.27494172,0.27412173,0.299,   2/  3,4.46486139
0,3,6,0.2726269,0.27348194,0.27348194,0.294,   2/  3,4.46153522
0,3,7,0.27208053,0.27284698,0.27284698,0.3254,   2/  3,4.47079611
0,3,8,0.27180408,0.27313952,0.27284698,0.2906,   3/  3,4.47407961
0,4,0,0.31321941,0.28320755,0.28320755,0.2121,   0/  3,3.16030788
0,4,1,0.28385837,0.28222294,0.28222294,0.2067,   0/  3,3.17152977
0,4,2,0.28327503,0.28224122,0.28222294,0.2137,   1/  3,3.1676414
0,4,3,0.2830464,0.28162163,0.28162163,0.2121,   1/  3,3.17782021
0,4,4,0.28296341,0.28165735,0.28162163,0.2134,   2/  3,3.18344402
0,4,5,0.2827397,0.2819841,0.28162163,0.213,   3/  3,3.16949797
0,5,0,0.36421142,0.32502972,0.32502972,0.1135,   0/  3,3.15605664
0,5,1,0.32500131,0.32496449,0.32496449,0.1135,   0/  3,3.18455577
0,5,2,0.32497976,0.32494932,0.32494932,0.1135,   0/  3,3.17712831
0,5,3,0.32498519,0.32498114,0.32494932,0.1135,   1/  3,3.17744398
0,5,4,0.32499103,0.32495919,0.32494932,0.1135,   2/  3,3.18333721
0,5,5,0.32500671,0.32497495,0.32494932,0.1135,   3/  3,3.18611693
0,6,0,0.32001608,0.2663602,0.2663602,0.2893,   0/  3,5.12225175
0,6,1,0.2606039,0.25959402,0.25959402,0.2998,   0/  3,5.14174342
0,6,2,0.25591108,0.25394502,0.25394502,0.3044,   0/  3,5.14806676
0,6,3,0.25446812,0.25445956,0.25394502,0.3036,   1/  3,5.1524477
0,6,4,0.25372255,0.25225789,0.25225789,0.3141,   1/  3,5.15682387
0,6,5,0.25336067,0.25278379,0.25225789,0.3082,   2/  3,5.15585136
0,6,6,0.25297812,0.25169211,0.25169211,0.3215,   2/  3,5.15764093
0,6,7,0.25258287,0.25179111,0.25169211,0.3166,   3/  3,5.15758324
0,7,0,0.37286551,0.32498863,0.32498863,0.1135,   0/  3,3.78682375
0,7,1,0.32495437,0.32495435,0.32495435,0.1135,   0/  3,3.80116391
0,7,2,0.32495298,0.32491963,0.32491963,0.1135,   0/  3,3.8112433
0,7,3,0.32495427,0.32495689,0.32491963,0.1135,   1/  3,3.80763817
0,7,4,0.32495326,0.32492922,0.32491963,0.1135,   2/  3,3.80147505
0,7,5,0.32495624,0.32492961,0.32491963,0.1135,   3/  3,3.80705857
0,8,0,0.35894657,0.32498068,0.32498068,0.1135,   0/  3,3.88039398
0,8,1,0.32500093,0.32496037,0.32496037,0.1135,   0/  3,3.89710879
0,8,2,0.3249912,0.32499461,0.32496037,0.1135,   1/  3,3.89708495
0,8,3,0.32499281,0.32493396,0.32493396,0.1135,   1/  3,3.89998412
0,8,4,0.32498445,0.32501185,0.32493396,0.1135,   2/  3,3.90723443
0,8,5,0.32499461,0.32496717,0.32493396,0.1135,   3/  3,3.90254068
0,9,0,0.34897425,0.32511815,0.32511815,0.1028,   0/  3,3.81358385
0,9,1,0.32504138,0.3251122,0.3251122,0.1135,   0/  3,3.8282063
0,9,2,0.32505068,0.32497252,0.32497252,0.1135,   0/  3,3.82914639
