Generation,PID, Epoch, Training Loss, Validation Loss,Best Loss(Generation), Accuracy,EarlyStopCount,Runtime
0,0,0,0.34650258,0.32496284,0.32496284,0.1135,   0/  3,4.23616886
0,0,1,0.32507772,0.32497432,0.32496284,0.1135,   1/  3,4.23779845
0,0,2,0.32506034,0.32497139,0.32496284,0.1135,   2/  3,4.24933147
0,0,3,0.32506944,0.32513544,0.32496284,0.1135,   3/  3,4.25496984
0,1,0,0.35308278,0.32499135,0.32499135,0.1135,   0/  3,3.20966649
0,1,1,0.32497547,0.32499985,0.32499135,0.1135,   1/  3,3.22905564
0,1,2,0.32499585,0.32500287,0.32499135,0.1028,   2/  3,3.23347402
0,1,3,0.32499257,0.32492248,0.32492248,0.1135,   2/  3,3.22959399
0,1,4,0.32500913,0.32495594,0.32492248,0.1135,   3/  3,3.23285389
0,2,0,0.35583353,0.32498378,0.32498378,0.1135,   0/  3,3.64446783
0,2,1,0.32499862,0.32496866,0.32496866,0.1135,   0/  3,3.64916229
0,2,2,0.32501981,0.32492331,0.32492331,0.1135,   0/  3,3.65457463
0,2,3,0.32500841,0.32494831,0.32492331,0.1135,   1/  3,3.65444732
0,2,4,0.32500325,0.3249595,0.32492331,0.1135,   2/  3,3.64807439
0,2,5,0.32500449,0.32493225,0.32492331,0.1135,   3/  3,3.64569664
0,3,0,0.39458885,0.32510441,0.32510441,0.101,   0/  3,2.74790764
0,3,1,0.32496898,0.32494044,0.32494044,0.1135,   0/  3,2.76698542
0,3,2,0.32495614,0.32493099,0.32493099,0.1135,   0/  3,2.76942539
0,3,3,0.32495346,0.324914,0.324914,0.1135,   0/  3,2.77399206
0,3,4,0.32494606,0.32495698,0.324914,0.1135,   1/  3,2.77347541
0,3,5,0.32495746,0.32490884,0.32490884,0.1135,   1/  3,2.7728951
0,3,6,0.32494416,0.32494957,0.32490884,0.1135,   2/  3,2.7732904
0,3,7,0.32495567,0.324935,0.32490884,0.1135,   3/  3,2.78101039
0,4,0,0.37330146,0.32498381,0.32498381,0.1135,   0/  3,2.66014671
0,4,1,0.32502206,0.32503119,0.32498381,0.1135,   1/  3,2.67779851
0,4,2,0.32503873,0.32499847,0.32498381,0.1028,   2/  3,2.67403245
0,4,3,0.32500888,0.32512219,0.32498381,0.1028,   3/  3,2.6790247
0,5,0,0.38671022,0.32508497,0.32508497,0.1135,   0/  3,2.804353
0,5,1,0.32497017,0.32491824,0.32491824,0.1135,   0/  3,2.82118559
0,5,2,0.32494862,0.32494674,0.32491824,0.1135,   1/  3,2.82895803
0,5,3,0.32495619,0.3249119,0.3249119,0.1135,   1/  3,2.82792115
0,5,4,0.32495317,0.32495364,0.3249119,0.1135,   2/  3,2.81998754
0,5,5,0.3249543,0.32492201,0.3249119,0.1135,   3/  3,2.81720972
0,6,0,0.39305478,0.32505111,0.32505111,0.1135,   0/  3,4.2351222
0,6,1,0.32496218,0.32491787,0.32491787,0.1135,   0/  3,4.26746941
0,6,2,0.32494737,0.32494609,0.32491787,0.1135,   1/  3,4.25694895
0,6,3,0.32495965,0.32492827,0.32491787,0.1135,   2/  3,4.26008439
0,6,4,0.32495229,0.32492555,0.32491787,0.1135,   3/  3,4.2705276
0,7,0,0.34392398,0.3065945,0.3065945,0.1428,   0/  3,4.28684521
0,7,1,0.2905343,0.27237868,0.27237868,0.3538,   0/  3,4.31618166
0,7,2,0.2622123,0.25907812,0.25907812,0.3656,   0/  3,4.31416774
0,7,3,0.25625347,0.25769045,0.25769045,0.3803,   0/  3,4.32050467
0,7,4,0.25490488,0.25685804,0.25685804,0.4127,   0/  3,4.32532787
0,7,5,0.25437768,0.25663874,0.25663874,0.4088,   0/  3,4.31993318
