Generation,PID, Epoch, Training Loss, Validation Loss,Best Loss(Generation), Accuracy,EarlyStopCount,Runtime
0,0,0,0.15825997,0.10857553,0.10857553,0.799,   0/  3,3.76286912
0,0,1,0.09791796,0.09109989,0.09109989,0.8367,   0/  3,3.80283213
0,0,2,0.08503566,0.08323734,0.08323734,0.8596,   0/  3,3.80113244
0,0,3,0.07823615,0.07308157,0.07308157,0.8763,   0/  3,3.80517387
0,0,4,0.07441119,0.0729233,0.0729233,0.8776,   0/  3,3.80282927
0,0,5,0.07199671,0.07141484,0.07141484,0.8751,   0/  3,3.80706811
0,0,6,0.07001093,0.07077447,0.07077447,0.8834,   0/  3,3.80347657
0,0,7,0.06863272,0.06836037,0.06836037,0.8819,   0/  3,3.8023386
0,0,8,0.06778606,0.0645946,0.0645946,0.8927,   0/  3,3.82016659
0,0,9,0.06670877,0.06796683,0.0645946,0.8922,   1/  3,3.87744617
0,0,10,0.06604733,0.06545172,0.0645946,0.8921,   2/  3,3.93678117
0,0,11,0.06521259,0.06448814,0.06448814,0.8936,   2/  3,3.96162438
0,0,12,0.06477498,0.06414882,0.06414882,0.8944,   2/  3,4.07034206
0,0,13,0.06419265,0.06800431,0.06414882,0.8915,   3/  3,4.21855903
0,1,0,0.33655417,0.25676265,0.25676265,0.2892,   0/  3,3.03200722
0,1,1,0.24373024,0.22933708,0.22933708,0.3421,   0/  3,3.02329612
0,1,2,0.224038,0.22116209,0.22116209,0.3841,   0/  3,3.02779913
0,1,3,0.22045833,0.21891256,0.21891256,0.4111,   0/  3,3.02598405
0,1,4,0.21960548,0.22119616,0.21891256,0.3929,   1/  3,3.0255363
0,1,5,0.21739611,0.21553949,0.21553949,0.4165,   1/  3,3.02282596
0,1,6,0.21271584,0.21137128,0.21137128,0.4382,   1/  3,3.02255511
0,1,7,0.20952591,0.21013343,0.21013343,0.4549,   1/  3,3.02650476
0,1,8,0.20716897,0.20652286,0.20652286,0.4606,   1/  3,3.02573228
0,1,9,0.20437347,0.20115174,0.20115174,0.4935,   1/  3,3.02756166
0,1,10,0.20426211,0.20489735,0.20115174,0.4863,   2/  3,3.06544518
0,1,11,0.20360283,0.20263627,0.20115174,0.4849,   3/  3,3.08968973
0,2,0,0.27198681,0.22119121,0.22119121,0.3691,   0/  3,3.65157843
0,2,1,0.2149701,0.20501216,0.20501216,0.4727,   0/  3,3.66609049
0,2,2,0.17218078,0.16373288,0.16373288,0.5679,   0/  3,3.63016105
0,2,3,0.15504485,0.12425402,0.12425402,0.7657,   0/  3,3.63172913
0,2,4,0.1246487,0.11707487,0.11707487,0.7819,   0/  3,3.63372397
0,2,5,0.11855677,0.11581625,0.11581625,0.7771,   0/  3,3.84476662
0,2,6,0.11542826,0.11942425,0.11581625,0.7763,   1/  3,3.64108205
0,2,7,0.11334601,0.11402496,0.11402496,0.7925,   1/  3,3.64049292
0,2,8,0.11160871,0.1085702,0.1085702,0.8039,   1/  3,3.65332794
0,2,9,0.11078204,0.11208612,0.1085702,0.7936,   2/  3,3.67514014
0,2,10,0.11019673,0.10742641,0.10742641,0.8085,   2/  3,3.71137738
0,2,11,0.10952918,0.1089585,0.10742641,0.8088,   3/  3,3.72191882
