Generation,PID, Epoch, Training Loss, Validation Loss,Best, Accuracy,EarlyStopCount,Runtime
0,0,0,0.33117873,0.26520392,0.26520392,0.2673,   0/  3,3.6298151
0,0,1,0.25886725,0.25397442,0.25397442,0.3121,   0/  3,3.6451292
0,0,2,0.25277959,0.24956935,0.24956935,0.3217,   0/  3,3.64751601
0,0,3,0.24989272,0.24818432,0.24818432,0.3454,   0/  3,3.65050149
0,0,4,0.24917418,0.24656629,0.24656629,0.342,   0/  3,3.65067387
0,0,5,0.247888,0.24610471,0.24610471,0.3567,   0/  3,3.70396829
0,0,6,0.24905069,0.24746302,0.24610471,0.3437,   1/  3,3.64904642
0,0,7,0.2479435,0.24554248,0.24554248,0.354,   1/  3,3.66170001
0,0,8,0.24624576,0.24653341,0.24554248,0.3552,   2/  3,3.66553044
0,0,9,0.24816548,0.24666207,0.24554248,0.3486,   3/  3,3.70740533
0,1,0,0.30788183,0.26176016,0.26176016,0.3403,   0/  3,4.99299359
0,1,1,0.2630015,0.25964563,0.25964563,0.3231,   0/  3,5.0369556
0,1,2,0.26135091,0.25908798,0.25908798,0.3853,   0/  3,5.03302169
0,1,3,0.26040905,0.25879931,0.25879931,0.3459,   0/  3,5.03022194
0,1,4,0.25963605,0.25789131,0.25789131,0.3633,   0/  3,5.03508234
0,1,5,0.25944874,0.25853671,0.25789131,0.3618,   1/  3,5.03947401
0,1,6,0.2587562,0.25780204,0.25780204,0.3916,   1/  3,5.036901
0,1,7,0.25906727,0.26018805,0.25780204,0.3513,   2/  3,5.05820322
0,1,8,0.25831382,0.2575079,0.2575079,0.3649,   2/  3,5.14061236
0,1,9,0.25814258,0.25847821,0.2575079,0.3447,   3/  3,5.23827767
0,2,0,0.34570611,0.32495551,0.32495551,0.1135,   0/  3,3.07854867
0,2,1,0.32501109,0.32498052,0.32495551,0.101,   1/  3,3.08857727
0,2,2,0.32500694,0.32491748,0.32491748,0.1135,   1/  3,3.0921483
0,2,3,0.32500041,0.32497256,0.32491748,0.1135,   2/  3,3.09253621
0,2,4,0.32500903,0.32496194,0.32491748,0.1135,   3/  3,3.09083962
0,3,0,0.23133606,0.18333562,0.18333562,0.5868,   0/  3,4.86066985
0,3,1,0.17809251,0.17574579,0.17574579,0.627,   0/  3,4.89162254
0,3,2,0.16338196,0.15294227,0.15294227,0.6672,   0/  3,4.87491894
0,3,3,0.150832,0.14855447,0.14855447,0.6629,   0/  3,4.87227154
0,3,4,0.14324023,0.14298183,0.14298183,0.6888,   0/  3,4.87731481
0,3,5,0.14199621,0.14145062,0.14145062,0.6819,   0/  3,4.87724209
0,3,6,0.13917641,0.14470789,0.14145062,0.6718,   1/  3,4.87946749
0,3,7,0.14265614,0.14191275,0.14145062,0.6902,   2/  3,4.88317466
0,3,8,0.13700203,0.13507463,0.13507463,0.7095,   2/  3,4.90176582
0,3,9,0.13394976,0.1330927,0.1330927,0.7159,   2/  3,4.97220564
0,3,10,0.13221763,0.13536875,0.1330927,0.7073,   3/  3,5.01162958
0,4,0,0.37819698,0.32502009,0.32502009,0.1135,   0/  3,3.15068865
0,4,1,0.32496689,0.3249219,0.3249219,0.1135,   0/  3,3.18367267
0,4,2,0.32495258,0.32491718,0.32491718,0.1135,   0/  3,3.18415999
0,4,3,0.3249398,0.3249513,0.32491718,0.1135,   1/  3,3.17983794
0,4,4,0.32495223,0.32492451,0.32491718,0.1135,   2/  3,3.18634582
0,4,5,0.32495804,0.32493833,0.32491718,0.1135,   3/  3,3.17846251
0,5,0,0.35033546,0.32499993,0.32499993,0.1028,   0/  3,4.17216516
0,5,1,0.32509469,0.32501199,0.32499993,0.1135,   1/  3,4.19870925
0,5,2,0.32507144,0.32508044,0.32499993,0.1135,   2/  3,4.19956779
0,5,3,0.32505594,0.32500191,0.32499993,0.1135,   3/  3,4.20013309
0,6,0,0.26261115,0.2012879,0.2012879,0.5289,   0/  3,3.6623323
0,6,1,0.18329853,0.17384108,0.17384108,0.6323,   0/  3,3.71426487
0,6,2,0.16744039,0.1652841,0.1652841,0.6667,   0/  3,3.71343756
0,6,3,0.16170151,0.1622003,0.1622003,0.6708,   0/  3,3.7136116
0,6,4,0.15714325,0.16073285,0.16073285,0.6722,   0/  3,3.72251201
0,6,5,0.15440609,0.15465535,0.15465535,0.6861,   0/  3,3.71112657
0,6,6,0.15325395,0.15538676,0.15465535,0.684,   1/  3,3.7064178
0,6,7,0.1512968,0.15220605,0.15220605,0.6835,   1/  3,3.70190334
0,6,8,0.14644966,0.14782353,0.14782353,0.693,   1/  3,3.7192812
0,6,9,0.14484861,0.14695399,0.14695399,0.6934,   1/  3,3.75186801
0,6,10,0.14384002,0.14775924,0.14695399,0.6922,   2/  3,3.80469322
0,6,11,0.14326156,0.14901398,0.14695399,0.6823,   3/  3,3.80895233
0,7,0,0.32568606,0.28287897,0.28287897,0.2108,   0/  3,3.26255131
0,7,1,0.28402341,0.28175053,0.28175053,0.2127,   0/  3,3.29010344
0,7,2,0.28316547,0.28189687,0.28175053,0.2132,   1/  3,3.29565358
0,7,3,0.2827859,0.28156265,0.28156265,0.2158,   1/  3,3.29197979
0,7,4,0.28246424,0.28136488,0.28136488,0.2164,   1/  3,3.29501581
0,7,5,0.28207899,0.28116021,0.28116021,0.2223,   1/  3,3.28990388
0,7,6,0.27962867,0.27646724,0.27646724,0.25,   1/  3,3.28689933
0,7,7,0.27600794,0.27368312,0.27368312,0.253,   1/  3,3.28791308
0,7,8,0.27280206,0.26982205,0.26982205,0.2664,   1/  3,3.30133033
0,7,9,0.26548808,0.26138576,0.26138576,0.2846,   1/  3,3.36559892
0,7,10,0.26207457,0.25890027,0.25890027,0.2906,   1/  3,3.47069097
0,7,11,0.26061108,0.25758255,0.25758255,0.2904,   1/  3,3.5107522
0,7,12,0.25876802,0.2557366,0.2557366,0.306,   1/  3,3.6123054
0,7,13,0.25769141,0.25824842,0.2557366,0.2841,   2/  3,3.88864374
0,7,14,0.25732941,0.25566518,0.25566518,0.3051,   2/  3,3.95447755
0,7,15,0.25695088,0.25464331,0.25464331,0.3085,   2/  3,3.94976735
0,7,16,0.25679458,0.25751218,0.25464331,0.301,   3/  3,3.95470595
