Generation,PID, Epoch, Training Loss, Validation Loss,Best loss(Generation), Accuracy,EarlyStopCount,Runtime
0,0,0,0.33804867,0.31579157,0.31579157,0.183,   0/  3,4.66727543
0,0,1,0.26655035,0.23636204,0.23636204,0.4002,   0/  3,4.70029211
0,0,2,0.22918637,0.22475359,0.22475359,0.3919,   0/  3,4.70862365
0,0,3,0.22316043,0.22649389,0.22475359,0.3854,   1/  3,4.70863724
0,0,4,0.22022866,0.22014378,0.22014378,0.4035,   1/  3,4.71111274
0,0,5,0.21858046,0.2164832,0.2164832,0.412,   1/  3,4.70765543
0,0,6,0.21691082,0.21389083,0.21389083,0.4153,   1/  3,4.71243596
0,0,7,0.214445,0.21498145,0.21389083,0.4415,   2/  3,4.72491622
0,0,8,0.2146302,0.21458066,0.21389083,0.3933,   3/  3,4.74060225
0,1,0,0.34093576,0.32499367,0.32499367,0.1135,   0/  3,4.08460402
0,1,1,0.32505179,0.32505167,0.32499367,0.1135,   1/  3,4.10704255
0,1,2,0.3250282,0.32502903,0.32499367,0.1028,   2/  3,4.10008788
0,1,3,0.32503846,0.32495137,0.32495137,0.1135,   2/  3,4.09929442
0,1,4,0.32503108,0.32510544,0.32495137,0.1135,   3/  3,4.09874249
0,2,0,0.37512022,0.32504258,0.32504258,0.1135,   0/  3,4.08418703
0,2,1,0.32495922,0.32490416,0.32490416,0.1135,   0/  3,4.10531998
0,2,2,0.32495646,0.32493012,0.32490416,0.1135,   1/  3,4.09842682
0,2,3,0.32495214,0.32491981,0.32490416,0.1135,   2/  3,4.10978603
0,2,4,0.324953,0.3249189,0.32490416,0.1135,   3/  3,4.10192966
0,3,0,0.33658517,0.32505442,0.32505442,0.1135,   0/  3,4.7001965
0,3,1,0.32505916,0.32507683,0.32505442,0.101,   1/  3,4.7138083
0,3,2,0.32507904,0.32504305,0.32504305,0.1135,   1/  3,4.72427106
0,3,3,0.32506523,0.32510947,0.32504305,0.1135,   2/  3,4.7130487
0,3,4,0.32505674,0.3249457,0.3249457,0.1135,   2/  3,4.7156682
0,3,5,0.32506186,0.32497436,0.3249457,0.1135,   3/  3,4.70964646
0,4,0,0.35385501,0.32494759,0.32494759,0.1134,   0/  3,3.00849986
0,4,1,0.32499338,0.32495864,0.32494759,0.1134,   1/  3,3.02674985
0,4,2,0.32497979,0.32498154,0.32494759,0.1134,   2/  3,3.02883887
0,4,3,0.32499257,0.325008,0.32494759,0.1134,   3/  3,3.02811289
0,5,0,0.34856416,0.32501414,0.32501414,0.1135,   0/  3,4.70153618
0,5,1,0.32502744,0.32496371,0.32496371,0.1135,   0/  3,4.71763396
0,5,2,0.3250082,0.32501754,0.32496371,0.1135,   1/  3,4.7142148
0,5,3,0.32502011,0.32513662,0.32496371,0.098,   2/  3,4.71302485
0,5,4,0.32502999,0.32500067,0.32496371,0.1135,   3/  3,4.71780658
0,6,0,0.37563172,0.32500447,0.32500447,0.1135,   0/  3,3.06857777
0,6,1,0.32496758,0.32492092,0.32492092,0.1135,   0/  3,3.10386848
0,6,2,0.32495322,0.32493327,0.32492092,0.1135,   1/  3,3.10178804
0,6,3,0.32495179,0.32494066,0.32492092,0.1135,   2/  3,3.10436535
0,6,4,0.3249587,0.32492389,0.32492092,0.1135,   3/  3,3.10373092
0,7,0,0.266371,0.23957579,0.23957579,0.3999,   0/  3,4.13672042
0,7,1,0.22805379,0.22769979,0.22769979,0.4495,   0/  3,4.16935873
0,7,2,0.22095789,0.22554438,0.22554438,0.4268,   0/  3,4.17692423
0,7,3,0.21808841,0.21962176,0.21962176,0.4664,   0/  3,4.17131305
0,7,4,0.21551786,0.21415469,0.21415469,0.508,   0/  3,4.17569304
0,7,5,0.21235824,0.21242596,0.21242596,0.484,   0/  3,4.17235947
0,7,6,0.20968784,0.20833074,0.20833074,0.4958,   0/  3,4.1682961
