Generation,PID, Epoch, Training Loss, Validation Loss,Best Loss(Generation), Accuracy,EarlyStopCount,RunTime
0,0,0,0.38363627,0.32499399,0.32499399,0.1135,   0/  3,3.59304953
0,0,1,0.32496385,0.32490687,0.32490687,0.1135,   0/  3,3.62314773
0,0,2,0.3249541,0.32492918,0.32490687,0.1135,   1/  3,3.62531686
0,0,3,0.32496063,0.32492641,0.32490687,0.1135,   2/  3,3.61810541
0,0,4,0.32495574,0.32491968,0.32490687,0.1135,   3/  3,3.61964107
0,1,0,0.30678101,0.24200524,0.24200524,0.3823,   0/  3,4.7460084
0,1,1,0.23013122,0.22309534,0.22309534,0.4442,   0/  3,4.7915535
0,1,2,0.21699999,0.21497002,0.21497002,0.4473,   0/  3,4.79381943
0,1,3,0.21249951,0.21134591,0.21134591,0.4571,   0/  3,4.79262114
0,1,4,0.21002039,0.2115274,0.21134591,0.469,   1/  3,4.78990173
0,1,5,0.20852973,0.20941376,0.20941376,0.4582,   1/  3,4.79041815
0,1,6,0.20708888,0.21193647,0.20941376,0.4532,   2/  3,4.79067349
0,1,7,0.20635899,0.21007007,0.20941376,0.4644,   3/  3,4.79299045
0,2,0,0.34763714,0.32494961,0.32494961,0.1135,   0/  3,3.20849824
0,2,1,0.32501382,0.32512889,0.32494961,0.1028,   1/  3,3.241256
0,2,2,0.32504939,0.32495164,0.32494961,0.1135,   2/  3,3.24009061
0,2,3,0.32503585,0.32498636,0.32494961,0.1135,   3/  3,3.24398756
0,3,0,0.28073084,0.23500009,0.23500009,0.3598,   0/  3,4.73572159
0,3,1,0.23311385,0.22799487,0.22799487,0.3673,   0/  3,4.76558065
0,3,2,0.22712794,0.22306246,0.22306246,0.3987,   0/  3,4.76279569
0,3,3,0.22221022,0.22304911,0.22304911,0.4026,   0/  3,4.7628572
0,3,4,0.21828126,0.21548016,0.21548016,0.4661,   0/  3,4.77112818
0,3,5,0.21531354,0.21312892,0.21312892,0.4519,   0/  3,4.76941204
0,3,6,0.21297333,0.21290203,0.21290203,0.4497,   0/  3,4.7769084
0,3,7,0.21172813,0.21205389,0.21205389,0.4601,   0/  3,4.77663612
0,3,8,0.21018642,0.21003884,0.21003884,0.4558,   0/  3,4.81394506
0,3,9,0.20958734,0.21667222,0.21003884,0.4357,   1/  3,4.84461093
0,3,10,0.20898702,0.21164014,0.21003884,0.4641,   2/  3,4.86399198
0,3,11,0.20911231,0.21282746,0.21003884,0.4431,   3/  3,4.90916252
0,4,0,0.31847594,0.27726374,0.27726374,0.2675,   0/  3,4.16882372
0,4,1,0.26931648,0.25789469,0.25789469,0.3217,   0/  3,4.19762111
0,4,2,0.25294029,0.24474101,0.24474101,0.3596,   0/  3,4.19617271
0,4,3,0.24533537,0.24340744,0.24340744,0.3988,   0/  3,4.19476128
0,4,4,0.24201015,0.24083786,0.24083786,0.3935,   0/  3,4.19865203
0,4,5,0.2394396,0.23703006,0.23703006,0.4063,   0/  3,4.20120716
0,4,6,0.23869911,0.23484597,0.23484597,0.4239,   0/  3,4.21047211
0,4,7,0.23620671,0.23327991,0.23327991,0.4246,   0/  3,4.21216416
0,4,8,0.23531815,0.23662642,0.23327991,0.4122,   1/  3,4.21133924
0,4,9,0.23375443,0.23169446,0.23169446,0.4375,   1/  3,4.25135159
0,4,10,0.2333213,0.23293256,0.23169446,0.4211,   2/  3,4.29002333
0,4,11,0.23248542,0.23299829,0.23169446,0.4203,   3/  3,4.31687403
0,5,0,0.34976178,0.32497283,0.32497283,0.1135,   0/  3,3.72083831
0,5,1,0.32499728,0.3249879,0.32497283,0.1135,   1/  3,3.75263929
0,5,2,0.32501547,0.32495382,0.32495382,0.1135,   1/  3,3.74341488
0,5,3,0.32501654,0.32499384,0.32495382,0.1135,   2/  3,3.74457026
0,5,4,0.32502512,0.32494936,0.32494936,0.1135,   2/  3,3.74566984
0,5,5,0.32501829,0.32498395,0.32494936,0.1135,   3/  3,3.75483823
0,6,0,0.37738876,0.32496896,0.32496896,0.1135,   0/  3,3.81863356
0,6,1,0.32495213,0.32493976,0.32493976,0.1135,   0/  3,3.85333514
0,6,2,0.32495467,0.32491073,0.32491073,0.1135,   0/  3,3.85198355
0,6,3,0.32495592,0.32492946,0.32491073,0.1135,   1/  3,3.85652852
0,6,4,0.32495684,0.32490849,0.32490849,0.1135,   1/  3,3.85585427
0,6,5,0.32495488,0.32492251,0.32490849,0.1135,   2/  3,3.85369563
0,6,6,0.3249545,0.32490604,0.32490604,0.1135,   2/  3,3.85351849
0,6,7,0.32495276,0.324944,0.32490604,0.1135,   3/  3,3.85994768
0,7,0,0.18574613,0.12965254,0.12965254,0.7513,   0/  3,4.82413793
0,7,1,0.11120467,0.10005039,0.10005039,0.8103,   0/  3,4.86266398
0,7,2,0.0992242,0.09783667,0.09783667,0.8168,   0/  3,4.86521935
0,7,3,0.09602998,0.09372796,0.09372796,0.826,   0/  3,4.85814071
0,7,4,0.09335597,0.0891774,0.0891774,0.8324,   0/  3,4.8588903
0,7,5,0.09138808,0.08962729,0.0891774,0.834,   1/  3,4.85483479
0,7,6,0.09059245,0.08805731,0.08805731,0.8411,   1/  3,4.85410023
